Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Fuji-Sanroku 50° 50%,"Jota Tanaka, Kirin’s chief blender, utilizes all the versatility of the complex production at Fuji Gotemba Distillery to create this truly superb non-chill filtered whisky. The dark vanilla, toffee brittle, macadamia nuts, heady incense, and singed oak have instant appeal. Sweet popcorn smothered in milk chocolate rotates through cherry, damson, and red apple, settling on a palate of toffee apple spiked with pepper and licorice. Tingling spices on a drying finish. £41",92 points,Japanese  , Jonny McCormick ,  $53,Fall 2017,50%
The Matsui The Peated,"Satisfyingly smoky, with noticeable structure and complexity: grilled fish, burning aromatic grasses, cocoa powder, and jellied and tropical fruit flavors. Soft pulpy fruits to taste, with red apple, nippy ginger and pepper spices, a surge of orange and mango flavors, and a backdraft of smoke. The nostrils still detect a delightful kipperiness. Smoke writhes like a serpent on the finish, sliding off walls dripping with sweet tropical fruits. (3,972 bottles)",92 points,Japanese  , Jonny McCormick ,  $90,Fall 2019,48%
Ichiro’s Malt,"This oldie (from a distillery which closed in 2000) seems pretty straightforward compared to the Mizunara [see following review], but has less dried fruit than the sherry note on the label might suggest. Think dried peels rather than raisin, then stir in some freshly-polished floor. The aromas are saturated and heavy — almost as if they are drifting towards you on humid air. The palate shows light smoke and then a pleasant quinine bitterness mid-palate. This has the Japanese quality of laying flavors out very precisely on the tongue while also heightening their intensity. Water reduces the quinine effect, allowing the richness of the spirit to come through. Hanyu was a pretty big and firm (even rigid) whisky. Here that shell has cracked, allowing anise and blueberry to come through. £450. Price in US dollars was converted at time of review.",91 points,Japanese  , Dave Broom ,  $695.00,Fall 2010,58%
Nikka 40 year old,"A celebration of Nikka’s 80th anniversary, and, in the spirit of the founding principles of Masataka Taketsuru, it’s a blend. The oldest cask here is Yoichi from 1945, there’s also a Miyagikyo from 1969. Only 900 bottles have been made. Huge whisky rancio, delicate smoke, light varnish, wax, hints of incense, and while rich, there is still remarkably fresh tropical fruit. Tasted blind, it could easily be mistaken for a Grand Champagne Cognac. Amazing length and purity. Sophisticated. €3,600",91 points,Japanese  , Dave Broom ,  $4474,Winter 2014,45%
Nikka from the Barrel,"Wonderful to see this portly bottle in U.S. stores at last. An exotic nose, with turned woods, stewed plum, sultana, ground ginger, dried chilies, and black cherry, it oscillates between spice and dark fruits. Rich smoke is packed deep; it’s far from the most dominant aroma. Orange, cherry, mango, and bubble gum notes are beaten back by a spicy rush of ginger and pepper, the sweetness prevailing over the cloves. Editors' Choice",91 points,Japanese  , Jonny McCormick ,  $65,Fall 2018,51.4%
Ohishi Islay Cask-Finished Rice Whisky,"Sweet honey, pears, melon, and vanilla sponge, with smoke that is both sweet and acrid and cuts through like a knife. Islay knows that delicious combination of sweetness, fruitiness, and smoke very well, and this could be amazing with a firmer, weightier texture. Flavors of watermelon, taffy, squeezed lime, and candied pineapple, with the smoke and meek spices growing in strength, adding smoked chocolate notes before a short finish. (5,000 bottles)",91 points,Japanese  , Jonny McCormick ,  $90,Fall 2019,42.8%
Mars The Lucky Cat “Ash ’99,"Yes, there is a cute, mewing black kitten on the label. Turkish delight, pomegranate, rose water, lemon, lime zest, clementine, and sandalwood. A syrupy texture with the sweetness of hard fruit candy; there are flavors of cooked apple, mandarin, butterscotch, melon, ginger, and chili pepper. The slow crescendo of spices is particularly impressive. The pleasantly fruity finish sees a drop-off in the spices. Distinctively aromatic and exotic.",91 points,Japanese  , Jonny McCormick ,  $100,Fall 2017,43%
Kaiyo Mizunara Oak,"Finely ground spice, vanilla sponge cake, light honey, and brown sugar cubes, as well as the mizunara fingerprints of aromatic wood and incense. Pastry, egg custard, and allspice flavors; there’s just enough body apparent as the spices settle down, unleashing a substantial wave of vanilla creaminess. Leaves a long aftertaste, like a light-hearted pillow fight between the vanilla cream and the fading spices.",91 points,Japanese  , Jonny McCormick ,  $59,Summer 2019,43%
Hibiki Japanese Harmony,"Poised and complex, with typically lifted fruitiness: strawberry ice cream, pineapple, peach, balanced by delicate oak, bamboo shoot-like delicacy, then lemon. The palate is more rounded than that very forward nose, with toffee notes adding some weight. A touch of smoke comes along in the mid-palate, before fruits and caramelized coffee biscuits. Water allows the flavors to flood the palate. Exemplary blending skills and classically Hibiki.",90 points,Japanese  , Dave Broom ,  $65,Winter 2015,43%
Miyagikyo,"This single malt bottling shows Miyagikyo’s emollient style at its best. This is all about super-soft orchard fruits; think apricot and sweet persimmon, though there’s also a touch of sweet sawdust and even a whiff of pine sap and milk chocolate. It demonstrates the classic Japanese trick of being both clear and precise in its aromas, as well as being heightened in intensity. The palate is a little slow to start with, offering a mix of spruce and pine, then those soft fruits carry you onward. In some ways the gentle charms of Miyagikyo are overshadowed by the rambunctious nature of From The Barrel and Yoichi, but soft is a worthy element in Japanese — nay, all — whisky. £76.95. Price in US dollars converted at time of review.",90 points,Japanese  , Dave Broom ,  $119.00,Fall 2010,45%
Nikka Coffey Malt single cask 1998,"A rarely-seen cult whisky made by distilling a 100% malted barley mash in a Coffey still and, in this expression, then aged in a remade hogshead. This is firm and complex on the nose with vanilla pod, crème caramel, and ripe banana. The palate manages to balance the silky depths and unctuous flow with nutmeg and a light cereal grip. Grain, malt, or something else? Who cares? Just seek it out. €155",90 points,Japanese  , Dave Broom ,  $210,Winter 2013,57%
Hakushu 18 year old,"Unlike their colleagues in Scotland, Japanese distillers do not exchange stock for their blending requirements. This means that each distillery is set up to produce a wide range of styles. Hakushu uses four different types of malt (unpeated to heavy) run through four pairs of differently-shaped stills. Each single malt is a different blend of these bases. While still herbal, this example shows more sherried notes along with sour orange zest, tropical fruit, and some smoke. Complex.£105",90 points,Japanese  , Dave Broom ,  $167.00,Spring 2012,43.5%
Hakushu 25 year old,"As the price may suggest, there ain’t a lot of this around, but to see Hakushu at its most robust, try and find a bar with a bottle. Again, the sherry component has been upped, as has the smoked element. There is, however, always that graceful Hakushu purity running through, this time expressed as rhubarb and strawberry. The palate shows great oily depth, hints of walnut, and yes, a sprig of mint tying it to the 10 year old. £555",90 points,Japanese  , Dave Broom ,  $885.00,Spring 2012,43%
Yamazaki 1984 Vintage,"The first vintage Suntory Yamazaki offered in the U.S. A portion of this whisky is aged in Japanese oak. Heavy aroma, with lush sherried fruit and deep juicy oak, marrying with firmly dry and spicy oak resin (the Japanese oak influence is obvious). This same profile follows through on the palate: ripe berried fruit, raisin, blackberry jam, plum spiced with cinnamon, vanilla spearmint, roasted nuts and gripping leather. All this, lying on a bed of molasses and toffee. The Japanese oak really kicks in on the invigoratingly spicy, warm, resinous finish. Quite elderly in nature, but remains very exciting and dynamic, even with all the oak.",90 points,Japanese  , John Hansell ,  $600,Winter 2009,48%
Yamazaki Mizunara,"Mizunara—or Japanese oak—was considered inferior for many years. Only recently have its extraordinary aromatic qualities been appreciated. These are immediately apparent on the nose: aloes, wood incense, sandalwood, cinnamon balls, sour cherry, and apple, becoming more gingery with water. Intense and acidic in the mouth, there are tart, stewed red fruits, pomegranate, and citrus. Lightly bitter tannins add to the complexity, as does the smoke rising from the smoldering incense stick. The most significant Japanese whisky of the year? £250",90 points,Japanese  , Dave Broom ,  $398,Winter 2012,48%
Ohishi Islay Cask,"The legacy of the cask’s history imparts more smoke than peat. It hasn’t overpowered the spirit, but the whisky is light enough to be put in the shade, with singeing smoke, coal dust, vanilla, and asphalt. Sweet rice, vanilla, honey, and warm spices of ginger root and black peppercorn, before a late arrival of peat. Milk chocolate, burnt driftwood, toffee, and a little residual pepper on the finish. (636 bottles)",90 points,Japanese  , Jonny McCormick ,  $100,Winter 2017,41.7%
Fuji-Sanroku Signature Blend,"Fuji-Gotemba Distillery’s talent for grain whisky is evident here, with a nose of waxy green leaves, whole peppercorn, and fleeting glimpses of lemon peel, lime zest, and white peach amid the airy, floral top notes. It has a serene, calming quality to it. Spicy pepper, orange peel, mouth-coating vanilla, creamy toffee, and crunchy apple, with a clean finish, like orange flesh laid out on hot stones. JPY 5,000",90 points,Japanese  , Jonny McCormick ,  $44,Winter 2017,50%
Fuji-Sanroku Small Batch 18 year old,"A little joy from Mount Fuji: soy sauce, five-spice powder, grilled pineapple, halved passion fruit, and the umami sensation of slightly salty umeboshi. It’s dense and mouth-coating, with maple syrup, cinnamon, and a steady build of rye spices, particularly nutmeg and clove, before closing off with dark baked orange. The spices are short lasting, but the pleasurably deep boiled orange candy sweetness persists for minutes. (JPY 22,000; Not available in the U.S.)",90 points,Japanese  , Jonny McCormick ,  $207,Spring 2018,43%
Fukano 2017 Edition,"Supple nose of lychee, ripening peaches, candy hearts, watermelon, allspice, and white pepper. A light, slightly syrupy texture with an underbelly of watermelon and raspberry, this year’s release unwraps peach, nectarine, rhubarb, and custard candy, fruit Life Savers, stewed fruits, red berries, and light citrus. It’s surprising just how much flavor is packed into this rice whisky. Finish is dry—the watermelon is gone. (4,411 bottles)",90 points,Japanese  , Jonny McCormick ,  $80,Winter 2017,42.8%
Fukano Vault Reserve #2,"A delightful fruity specimen, with lime, Asian pear, grapefruit, tangerine, mango, melon, taffy, and a hint of white pepper. More tropical fruit notes to enjoy on the tongue: papaya, dried melon strips, passion fruit, melon, and fruit syrups all floating along on a slick of gooey caramel. Continuity of the fruit-bomb theme continues into a finish of fleshy stone fruits infused with a sprinkle of gentle spices. (3,850 bottles)",90 points,Japanese  , Jonny McCormick ,  $90,Spring 2019,40.4%
Fukano 2017 Edition,"Japanese rice whiskies enjoy a cult following for their delicate flavors. This Fukano stands out with its ethereal fruity delights, the result of meticulous vigilance to preserve the spirit’s subtle nature. It brings a supple nose of lychee, ripe peaches, Smarties, watermelon, allspice, and white pepper. A light, slightly syrupy texture is underscored by watermelon and raspberry as it unwraps peach, nectarines, rhubarb, and custard candy, fruit Life Savers, stewed fruits, red berries, and light citrus. Fukano promises to broaden our whisky horizons. Number 20 in the 2017 Top 20 ",90 points,Japanese  , Jonny McCormick ,  $80,Winter 2017,42.8%
Kikori,"Get back to nature; this is a whisky to savor during a spectacular sunrise. Lychee, edamame, pea shoots, green apple, and morning dew on lush lawns. As it warms and wakes up, there are hints of orange and some piquant spice. The taste jumps from lemongrass to lemon candies, with melon, mild peppercorn, gentle vanilla, creamy oak, and a few green notes at the end.",90 points,Japanese  , Jonny McCormick ,  $50,Summer 2018,41%
Kikori Ten,"A decade of aging in an oloroso cask has bestowed aromas of stewed plum, prune, throat lozenges, and thick fronds inside a tropical palm house, while still executing the same dreamily serene Kikori character. Age has enhanced the mouthfeel of this rice whisky, serving up a smooth, clean palate of tart orange, damson, and plum sweetness, with a complex twist of spice and drying orange peel on the finish. (312 bottles for U.S.)",90 points,Japanese  , Jonny McCormick ,  $180,Winter 2018,41.2%
Kaiyo Mizunara Oak Cask Strength,"Fully matured in mizunara oak on land and sea, this has tangy orange, ground ginger, fennel seed, cedar, and incense, though it seems a little more tightly wound than the standard strength whisky. Juicy orange, quick firecracker spices, and more toffee sweetness; it becomes heavy and thick, flaunting high alcohol, then turns creamier with marzipan, orange Jell-O, and singed oak spices.",90 points,Japanese  , Jonny McCormick ,  $89,Summer 2019,53%
Kaiyo Mizunara Oak The Peated (2nd Edition),"This is utterly unique; made from imported Scottish peated malt, it spends 2 years in madeira casks, then 6 years in mizunara casks. Light, clean, fruity refreshment: apple, white grape, lingering cigar smoke, coconut macaroons, and ample Japanese oak influence. Apple and watermelon flavors, developing a more sugary fruitiness of Life Savers hard candy, all brushed with gentle spice and a swish of smoke.",90 points,Japanese  , Jonny McCormick ,  $89,Summer 2019,46%
The Matsui Mizunara Cask,"Very pale, fresh whisky, with lychee, fresh pear, morning dew, apple notes, and just a dash of salt and white pepper. It’s a honeyed and thick dram on the palate, with caramelized apples and tangerine, then late bittersweet citrus that attempts to dampen down the jackhammer of pepper. Enjoyable weight, texture, and flavors, but the mizunara signature notes are a little subtle and underplayed. (3,972 bottles)",90 points,Japanese  , Jonny McCormick ,  $90,Fall 2019,48%
Ichiro’s Malt,"The Ichiro of the title is Ichiro Akuto, scion of the family which owned the now demolished Hanyu distillery, and proprietor of the brand new and incredibly cute (yes…distilleries can be cute) Chichibu distillery — even the name’s cute. This release is a vatting of different (un-named) single malts from more than one distillery which have been aged in Japanese oak (mizunara, or Q.Mongolica). Mizunara has a highly distinctive aromatic spectrum — the Japanese say that it smells of temples, specifically the incense which scents Zen temples, but while totally accurate, that’s not much help if you haven’t been to one. Think of a heavy, exotic aroma of allspice, sandalwood, even redwood, and you’re almost there. In fact, if you think of the perfumed aspects of rye, but turned up a notch, then you’re in the right ballpark. In this one there’s even a hint of trail bar — maybe it’s a hike in a California old-growth forest. The palate is soft and slow to start, then picks up mouthwatering acidity — there’s that rye parallel. Green plum and peach, balanced with spiciness on the end. Once encountered, never forgotten. £85. Price in US dollars was converted at time of review.",89 points,Japanese  , Dave Broom ,  $131.00,Fall 2010,46%
Karuizawa cask 4592,"The (sadly mothballed) Karuizawa distillery is at the opposite extreme to Eigashima. Peated malt, small stills, and sherry casks give a single malt of uncompromising weight and solidity. Those of you who thought Japan was all about the ethereal and limpid, think again. In musical terms, if Eigashima is the Modern Jazz Quarter, then Karuizawa is late period Coltrane, or if you prefer, it’s Black Flag to Eigashima’s Carole King. Anyhoo, did I mention this bottling (like all of this quartet from Number One Drinks) is green? Or at least has a color akin to tarnished silver? The note is all chicory and coffee, earthiness and cardamom - whisky reduced to some weird essence by long maturation. The effect is one of an old-fashioned cough medicine (with less laudanum). The palate is explosive with masses of camphor, tar, licorice, and squid ink. This is Japanese whisky at its most extreme, and fainthearts should not venture here. Those with a taste for the big and the bold will love it, however. £130. Price in US dollars was converted at time of review.",89 points,Japanese  , Dave Broom ,  $200.00,Fall 2010,60.7%
Nikka Coffey Malt,"Now a hugely welcome part of the core range, this whisky—made in Coffey stills at the Miyagikyo distillery—uses 100% malted barley as its base. The nose is all tinned peach, tropical fruit juice, and baked banana, with a surprising green celery note, coconut, and sherbet. The palate is silky, with some chocolate, biscuity oak, and orange blossom honey. Water brings those green notes forward to add freshness to the peach cobbler sweetness. The grain revolution builds. £43",89 points,Japanese  , Dave Broom ,  $72,Fall 2014,45%
Hakushu Heavily Peated,"Last year saw the release of the Yamazaki “component” range, examples of the cask types that help make up its single malt releases. Now, Hakushu has joined in. The name doesn’t lie, this is very smoky, heathery, fragrant with orris-like dryness alongside Hakushu’s classic vegetal notes of elderflower, bamboo, and moorland grass. The palate shows praline, ripe lychee, and kiwi working alongside this mix of integrated smoke and clean focus. It also makes a fantastic Hiball.",89 points,Japanese  , Dave Broom ,  $150,Winter 2013,48%
Yamazaki Sherry Cask (2016 Edition),"I tried this alongside the ‘legendary’ 2013 which, while good, remains too tannic for me. This though, has refinement and some complexity, with roasted tea, scented wood, resin, new brogues, and then the fruity Yamazaki undertow. In time you’ll get perfumed, incense-like sherried elements. It’s the finish where things take off into rose petal, strawberry, and Yamazaki’s pineapple signature. Water increases the tannin. Better than 2013, but still only for sherry bomb and tannin lovers.",89 points,Japanese  , Dave Broom ,  $300,Summer 2016,48%
Miyagikyo 12 year old,"The first impression is of dried apricot compote, pomegranate, sweet persimmon, a little touch of anise, then herbs and strawberry. Quite creamy, with fine structure and, with water, cappuccino and quince jelly. There's a hint of char on the palate to start, then the sweetness returns, making the mid-palate distinctly peachy, with added poached orchard fruits. Broad and quite elegant, with a smooth delivery. Water lightens things, allowing more floral elements to develop. Versatile.",89 points,Japanese  , Dave Broom ,  $110,Fall 2015,45%
Ohishi Kaito’s Cask,"Spicy rice crackers, plum sauce, bramble jelly, fragrant oriental spices, and the polished leather of new shoes from this single cask, sherry-matured rice whisky. The syrupy texture bursts with juicy red fruits, plum, red currant, pomegranate, and cooked peach, all bolstered by peppercorns and ground ginger. An enchanting harmony is struck between the fruits and the spice, though the finish is short, with sherry notes and spicy remnants. (660 bottles)",89 points,Japanese  , Jonny McCormick ,  $90,Spring 2018,41.8%
Ohishi Sakura Cask Rice Whisky (2019 Release),"Rich amber in color, with aromas of fermented fruits, toasted oak, apple peelings, old parchment paper, golden pancakes, and bright aromatic chili flakes and paprika. A soft, gentle dram that caresses the taste buds with caramelized brown sugar, fudge, vanilla, dried apple, ground almond, and a tang of citrus peel. On the finish, the flavor of apple peelings returns after a brief glow of spice. (1,475 bottles)",89 points,Japanese  , Jonny McCormick ,  $90,Fall 2019,43.6%
Fukano 12 year old Single Cask No. 275,"Brown rice, balsamic vinegar, hoisin sauce, spiced rhubarb, white pepper, and clove make this an intriguing and appetizing olfactory experience. The palate is fruitier, with dark citrus, stewed apple, star fruit, taffy candy, and orange Jell-O, drifting to light pepperiness and aniseed. A drying aftertaste homes in on orange peel, with some late spice contributions. Complex flavor combinations make this a great exploratory whisky for seasoned enthusiasts. (440 bottles)",89 points,Japanese  , Jonny McCormick ,  $100,Winter 2017,41.9%
Kurayoshi 12 year old,"This is airily fruity, with a greater emphasis on red fruits: strawberry jam, red apple, and red currant. With greater age, the five-spice and ground ginger are dialed up a couple of notches. A thick, jammy texture with flavors of red apple, malt, peppercorn, and chili flakes, glimpses of chocolate and cocoa, though the spices slacken with dilution. Finish of ground coffee, cooking chocolate, and fading spice. (2,160 bottles)",89 points,Japanese  , Jonny McCormick ,  $100,Spring 2018,46%
Kaiyo Mizunara Oak The Single 7 year old,"This whisky spends 7 years in bourbon barrels with a 6-month finish in mizunara. Sandalwood, incense, long pepper, grapefruit, cilantro leaf, pencil shavings, and red pepper rice cracker give this a dry, fragrant air. It’s silky with light honey, vanilla, fudge, and peaks with pepper, coconut, then green apple, before a finish of aromatic spices and tangy orange.",89 points,Japanese  , Jonny McCormick ,  $49,Summer 2019,48%
The Matsui Sakura Cask,"A nose of cola gummies, Dr. Pepper, fresh green apple, poached pears in cream, dried strawberry, tree blossom, white pepper, allspice, and mint leaves. This whisky, finished in a cask with Japanese cherrywood heads, begins delicately with sweet fruit syrups, before unwrapping golden caramel with a core of spice. Baked apple notes, strudel, unsweetened citrus, and a tang of bitter fruits, which abate to a mouth-coating finish of orange oil. (3,972 bottles)",89 points,Japanese  , Jonny McCormick ,  $90,Fall 2019,48%
Hibiki,"Well-rounded, solid malt backbone, and very drinkable. These are the main characteristics of this impressive blend. Honeysuckle, vanilla-coated malt and fruit (pineapple upside down cake, lemon tart, plum, bramble) are the primary flavors. Ripe barley, marzipan, beeswax, and clove round out the palate. Gentle, soothing finish. Suntory can make a 12 year old blend this good with just two malt distilleries? Scotland, are you taking notice?",88 points,Japanese  , John Hansell ,  $55.00,Fall 2009,43%
Hakushu 10 year old,"Suntory’s second distillery was once the largest producer of malt whisky in the world. Located high in the Japanese Alps, its buildings are hidden within a thickly forested national park, and there is something of that environment in this expression, which is filled with the scents of fern, wet bamboo, pine, and mint. Japanese single malt at its most beguiling.£40",88 points,Japanese  , Dave Broom ,  $64.00,Spring 2012,43.5%
Miyagikyo Single Malt,"One for no age statement naysayers. An eloquent expression of sweet osmanthus, baked lemon, yuzu, violin resin, rich malts, and bonfire aromas on a favorite woolen jumper. It glides across the tongue with sweet barley sugar, but attests to greater depths; grapefruit, spicy ginger, and mandarin developing milk chocolate-coated, candied lemon flavors. A firm finish: green cardamom spices slowly releasing their grip on the front of the palate, leaving clingy vanilla. Unbound by an age statement, it’s a beautiful offering.",88 points,Japanese  , Jonny McCormick ,  $80,Winter 2016,45%
Ohishi Sherry Single Cask No. 833,"If you are a scotch drinker contemplating your first Japanese rice whisky purchase, this is the one. Dates, Christmas cake, glazed gammon, red cherry, and muted roasted spices show the quality of the cask. Raspberry coulis and cranberry make for a juicy palate that evolves into caramel, fudge, chili, and pepper. Spices rule the finish, the fruit fading quickly. A great introduction to Fukano single casks. (527 bottles)",88 points,Japanese  , Jonny McCormick ,  $75,Winter 2017,41.5%
Komagatake Rindo Nature of Shinshu,"This young whisky from the Mars Shinshu Distillery was matured in Japanese wine casks. Fragrantly aromatic with perfumed florals, apple blossom, and pastel-colored chalky candy. By way of explanation, Rindo means “gentian,” the mountain flower of Nagano. Its light texture is rather sweet, with caramel, mango, a piquancy of tart oranges, and a little underlying pepper and clove. A snarl of pepper and lingering soft fruits rounds things off. (8,200 bottles)",88 points,Japanese  , Jonny McCormick ,  $190,Spring 2017,52%
Mars Iwai,"The original Iwai pot stills from the 1960s have been retired and now stand outside the Mars Shinshu Distillery. Cajoled by the savory, almost gamey aromas assimilated with brown apple and old strawberries, the whisky is surprisingly candy sweet to the taste. Dark jellied fruits: first Rowntree’s Fruit Gums, then Fruit Pastilles. Hazelnut, gentle oriental spices, and chicory coffee usher in a deep, fruity finish with creamy chocolate and fresh mint.",88 points,Japanese  , Jonny McCormick ,  $35,Fall 2017,40%
Suntory Toki,"This is a handy core ingredient for many cocktails, combining single malts from Yamazaki and Hakushu with grain from Chita. Dying embers of burnt heather and aromas of sliced apples browning through careless neglect. A complex interplay between the smoky embers, roasted spices, tiger fruit, coriander, and whole peppercorn precedes a sweet taste of buttered popcorn, orchard fruit, and burnished orange, supported by increasingly provocative pepperiness. Quaffable and versatile.",88 points,Japanese  , Jonny McCormick ,  $40,Fall 2017,43%
The Chita,"Suntory built Chita Distillery in 1972 to produce a diverse range of corn-based grain whisky styles. This single grain has bright, floral aromas with light honey, orange and lemon peel, freshly unwrapped bubble gum, rose water, and an edge of spice. Clean, pure, and moreish, this high-quality whisky showcases lychee, citrus, banana, and honey, with herbal fringes and a juicy finish. Oh, and it’s terrific on the rocks. JP¥3,800",88 points,Japanese  , Jonny McCormick ,  $34,Fall 2018,43%
Fukano Vault Reserve #1,"Herbal with roasted sage leaves, coriander seed, savory meat juices, and a twinge of tarragon, though there are fruity qualities like fresh peach and clementine. Creamy orange fondant, clove, peach, and nectarine sweetness, honey, and caramel with a gentle spicy edge makes for a quite charming whisky. It reaches a plateau relatively quickly, with just hints of citrus fruit and light spices to finish. (5,443 bottles)",88 points,Japanese  , Jonny McCormick ,  $90,Spring 2019,40.5%
Kurayoshi 18 year old,"The high-alcohol strength is apparent on the nose, which is dominated by pepper, clove, and star anise spices. A mouth-drawing concoction that begins softly, with honey, orange, and apple peel, then grows in scale at the expense of the sweetness. There’s a takeover by root ginger and bitter fruit skins. The long-lasting finish reverberates with crackling spices and sour fruits. (1,140 bottles)",88 points,Japanese  , Jonny McCormick ,  $220,Spring 2018,50%
Kurayoshi Sherry Cask 3 year old,"Nutty dried fruits, pear and apple, light pepper, and an old knob of dried ginger. The sherry notes are more reminiscent of amontillado or palo cortado. The sherry works well with the whisky, bringing dried peels, nuts, golden caramels, and spicy pepper, the latter surging forth to dominate the last remnants of fudge-like sweetness. Attractively tasty, this has a finish of juicy peel, clove, and pepper. (720 bottles)",88 points,Japanese  , Jonny McCormick ,  $80,Spring 2018,46%
Yamazaki Puncheon,"Yamazaki’s puncheons contain 480 liters and are made at the distillery’s cooperage from American white oak. The greater size means there are lower levels of oak extract, immediately apparent in the paler hue and more restrained aromas, where flowers mix with the gentle blandness of pear, lychee and, with water, pineapple. Best neat, here is distillery character (or one of the distillery characters, Yamazaki makes many styles) to the fore. Less immediate than the bourbon barrel, but ultimately more rewarding. £70",87 points,Japanese  , Dave Broom ,  $112,Winter 2012,48%
Miyagikyo 1999 single cask,"Herbal-style Miyagikyo, with light balsa wood opening into macaroon and peach stone. The sense, especially with water, is of early autumn unfolding. The palate is very soft, with the assured boldness of character typical of the distillery, but tempered with a subtle undertow of persimmon and peach. Sweet and lush, but with delicacy. €169",87 points,Japanese  , Dave Broom ,  $228,Winter 2013,61%
Miyagikyo Rum Wood Finish 2017,"This gentler, naturally fruity whisky seems to benefit less from the rum than the peated Yoichi, the effect particularly heightened on the palate. A nose of warm muffins, fruit salad, faint citrus, the spiciness of fennel and pepper, with botanicals in a tropical palm house. Quite spicy, it evokes pepper and ginger, with pineapple, lemon wedges, lime, ripe melon, and some late maltiness. Cinnamon and peppery spice to finish. (3,500 bottles; sold as a set with Yoichi Rum Wood Finish 2017) €395/set",87 points,Japanese  , Jonny McCormick ,  $465/set,Summer 2018,46%
Ohishi Sherry Cask,"This has the warming comfort of cask strength rice pudding, with just enough rice character peeking through the sherry. Marzipan, sultana, fig, and toasted spice. Nutty amontillado notes load up on dried fruits, including apricot, mango, and apples pricked with cloves. The late phase includes black cherry, old leather, cola-flavored candy, and burnt fruitcake. A quick fizzle of spice and dried fig turns slightly savory.",87 points,Japanese  , Jonny McCormick ,  $75,Winter 2017,42.3%
Mars Maltage Cosmo,"A fusion of Japanese and Scotch whisky from the owners of the Mars Shinshu Distillery, who have recently opened a second distillery named Tsunuki. Dates, treacle, red cabbage, and maitake mushroom add intrigue. Light-textured, sweet and juicy, with burnished orange, toffee apple, dark caramel, but some lackluster spices. The texture becomes fatter with dilution, as damson flavors emerge. Finish of bonfire toffee, flat cola, raisins, and spice. £75",87 points,Japanese  , Jonny McCormick ,  $92,Spring 2017,43%
Kurayoshi 8 year old,"Heady with spring blossoms, mixed peel, cantaloupe, green banana, and taffy candy, with a fine thread of spices running through it. A hesitant opening, it wallows in gentle apple and orange before a strong tangerine streak appears, the mouthfeel becoming weightier, drawing through flavors of peppery herbal salad leaves and vanilla cream. The spices take the lead from then on, the fruit fading quickly in the peppery afterglow. (1,440 bottles)",87 points,Japanese  , Jonny McCormick ,  $80,Spring 2018,46%
Kurayoshi Sherry Cask 8 year old,"Age adds a richer, creamier note suggestive of lighter styles of sherry, more fino or manzanilla, perhaps a cream sherry. The fruit note is more rounded, the nutmeg, clove, and pepper deliver a stronger kick. Ripe yellow fruits with melon and apple, not too sweet, followed by a sharper edge of light sherry. By comparison, the younger whisky has more fruit to balance out the nippy spices. (720 bottles)",87 points,Japanese  , Jonny McCormick ,  $100,Spring 2018,46%
Nikka Coffey Grain single cask 1999,"Distilled, as the name suggests, in a (Glasgow-built) Coffey still at the Miyagikyo distillery, here we have a corn-based grain with masses of gentle custard tart aromas alongside peach and corn fatness. The mouth is ripe and slow, with banana skin and fruit peels leading to a mellow mid-palate section, where vanilla comes through. It’s all about the feel. €145",86 points,Japanese  , Dave Broom ,  $196,Winter 2013,60%
Super Nikka Revival,"Masataka Taketsuru first blended Super Nikka in 1962 in tribute to his late Scottish wife Rita, and this limited edition pursues the flavors of the original. A dry nose of whole almond, honeycomb, woody herbal twigs, star anise, five-spice powder, and cut and dried peats. Lyle’s Golden Syrup flavors, baked apple, and raspberry coulis with a beautifully balanced, spicy accompaniment, incorporating lemongrass stalks and coconut flakes. Spicy fireworks, herbal remnants, and a slight peatiness make for a complete whisky. €49",86 points,Japanese  , Jonny McCormick ,  $52,Winter 2016,43%
Hakushu 12 year old,"Although only two years older, this expression of Hakushu — the first to be launched in the U.S. — shows a fleshier side to the distillery’s wares. While it has retained the freshness of the 10 year old, it shows more pineapple and grapefruit on the nose, with a little fragrance of jasmine and osmanthus. On the palate, it’s fresh and lively with a hint of persimmon and a tickle of smoke. Recommended.",86 points,Japanese  , Dave Broom ,  $85.00,Spring 2012,43.5%
Yamazaki Bourbon Barrel,"Very bright gold. This shows some of the warm tatami/dry grass notes seen in Yamazaki 12 year old, this time overlaid with fruit stones, banana chips, fresh persimmon, and, once it opens, cask-generated aromas of crème brûlée, cinnamon toast, caramelized sugar, and cotton candy. The palate is sweet and lush with plenty of vanilla ice cream, but there’s sufficient acidity to maintain freshness and prevent things from getting too flabby. £70",86 points,Japanese  , Dave Broom ,  $112,Winter 2012,48%
